ts_event,open,high,low,close,volume
2025-06-30 13:30:00+00:00,202.05,202.19,201.72,201.895,635364
2025-06-30 14:30:00+00:00,201.9,202.02,200.35,200.995,1509103
2025-06-30 15:30:00+00:00,201.0,201.315,199.6,199.965,1544817
2025-06-30 16:30:00+00:00,199.96,200.42,199.8,200.17,689666
2025-06-30 17:30:00+00:00,200.18,200.48,199.845,200.16,632789
2025-06-30 18:30:00+00:00,200.15,200.825,199.9,200.61,632173
2025-06-30 19:30:00+00:00,200.59,207.15,199.26,206.94,5497937
2025-06-30 20:30:00+00:00,206.96,207.38,204.96,205.16,16840255
2025-07-01 13:30:00+00:00,206.72,207.28,206.5,207.08,1088345
2025-07-01 14:30:00+00:00,207.08,209.83,206.14,209.745,5710624
2025-07-01 15:30:00+00:00,209.755,210.185,207.47,207.74,3924276
2025-07-01 16:30:00+00:00,207.73,208.18,206.785,207.76,1538974
2025-07-01 17:30:00+00:00,207.755,208.53,207.1,207.9,1399610
2025-07-01 18:30:00+00:00,207.91,208.41,207.61,208.19,1027840
2025-07-01 19:30:00+00:00,208.19,208.425,207.37,208.095,1160483
2025-07-01 20:30:00+00:00,208.095,208.2,207.52,207.96,6724325
2025-07-02 13:30:00+00:00,208.99,209.5,208.14,208.805,874689
2025-07-02 14:30:00+00:00,208.795,213.34,208.37,212.26,4499348
2025-07-02 15:30:00+00:00,212.27,212.85,211.38,211.6,1861015
2025-07-02 16:30:00+00:00,211.6,212.02,210.85,210.85,1146597
2025-07-02 17:30:00+00:00,210.85,211.35,210.22,210.95,929690
2025-07-02 18:30:00+00:00,210.95,211.76,210.75,211.6,673779
2025-07-02 19:30:00+00:00,211.6,212.96,211.39,212.12,1505395
2025-07-02 20:30:00+00:00,212.12,212.75,211.95,212.31,6902316
2025-07-03 13:30:00+00:00,212.07,212.49,212.0,212.05,590704
2025-07-03 14:30:00+00:00,212.13,213.915,211.81,213.91,2024269
2025-07-03 15:30:00+00:00,213.91,214.46,213.04,213.89,1727858
2025-07-03 16:30:00+00:00,213.89,214.65,213.67,213.95,1105378
2025-07-03 17:30:00+00:00,213.94,214.14,213.2,213.2,5048444
2025-07-03 18:30:00+00:00,213.2,213.39,213.19,213.28,9011
2025-07-03 19:30:00+00:00,213.26,213.27,213.12,213.15,2276
2025-07-03 20:30:00+00:00,213.17,213.8,213.11,213.41,9471
2025-07-07 13:30:00+00:00,212.72,214.81,212.64,214.73,870898
2025-07-07 14:30:00+00:00,214.72,216.23,211.81,212.14,3172506
2025-07-07 15:30:00+00:00,212.12,212.595,211.61,212.05,1043194
2025-07-07 16:30:00+00:00,212.04,212.225,210.38,210.94,1259452
2025-07-07 17:30:00+00:00,210.94,211.16,209.52,210.2,1199971
2025-07-07 18:30:00+00:00,210.19,210.24,208.83,208.96,878183
2025-07-07 19:30:00+00:00,208.95,210.07,208.81,209.525,970838
2025-07-07 20:30:00+00:00,209.53,210.25,209.195,209.88,7912319
2025-07-08 13:30:00+00:00,210.05,210.31,209.69,210.14,557285
2025-07-08 14:30:00+00:00,210.14,210.48,208.46,209.51,1838629
2025-07-08 15:30:00+00:00,209.51,211.43,209.51,209.97,1346648
2025-07-08 16:30:00+00:00,209.985,211.19,209.78,210.7,828258
2025-07-08 17:30:00+00:00,210.71,210.88,209.5,209.82,972760
2025-07-08 18:30:00+00:00,209.82,210.255,209.33,209.78,588508
2025-07-08 19:30:00+00:00,209.785,210.05,209.41,209.56,499727
2025-07-08 20:30:00+00:00,209.56,210.35,209.3,209.95,6681704
2025-07-09 13:30:00+00:00,209.44,210.3,209.35,210.175,683994
2025-07-09 14:30:00+00:00,210.22,210.91,209.48,209.71,1971321
2025-07-09 15:30:00+00:00,209.68,209.68,207.22,207.85,2040923
2025-07-09 16:30:00+00:00,207.86,208.215,207.27,207.85,927086
2025-07-09 17:30:00+00:00,207.84,209.05,207.575,208.98,818219
2025-07-09 18:30:00+00:00,208.985,209.985,208.72,209.715,869602
2025-07-09 19:30:00+00:00,209.71,210.19,209.62,209.8,712519
2025-07-09 20:30:00+00:00,209.8,211.33,209.8,211.15,7896176
2025-07-10 13:30:00+00:00,210.44,211.14,210.16,210.91,710295
2025-07-10 14:30:00+00:00,210.89,212.295,210.19,212.12,1809512
2025-07-10 15:30:00+00:00,212.14,213.48,212.03,213.04,1797276
2025-07-10 16:30:00+00:00,213.03,213.18,211.84,211.93,960717
2025-07-10 17:30:00+00:00,211.92,212.775,211.86,212.6,639979
2025-07-10 18:30:00+00:00,212.61,213.16,212.315,212.78,535797
2025-07-10 19:30:00+00:00,212.77,213.44,212.57,212.58,696680
2025-07-10 20:30:00+00:00,212.575,213.02,212.08,212.35,6570486
2025-07-11 13:30:00+00:00,210.43,210.85,209.88,210.75,691884
2025-07-11 14:30:00+00:00,210.75,212.125,209.86,211.55,1550290
2025-07-11 15:30:00+00:00,211.55,211.67,210.48,210.96,740952
2025-07-11 16:30:00+00:00,210.96,211.21,210.43,210.62,641142
2025-07-11 17:30:00+00:00,210.63,211.29,210.46,211.14,502841
